"","water","yr","wtmin1"
"1",98,1911,98
"2",172.2,1912,98
"3",162.7,1913,172.2
"4",21,1914,162.7
"5",371.1,1915,21
"6",182.3,1916,371.1
"7",846.4,1917,182.3
"8",393.1,1918,846.4
"9",160.4,1919,393.1
"10",402.4,1920,160.4
"11",235.3,1921,402.4
"12",156.7,1922,235.3
"13",518.3,1923,156.7
"14",315.9,1924,518.3
"15",132.3,1925,315.9
"16",741.7,1926,132.3
"17",398.8,1927,741.7
"18",524.8,1928,398.8
"19",221,1929,524.8
"20",391.4,1930,221
"21",472.6,1931,391.4
"22",525.3,1932,472.6
"23",193.7,1933,525.3
"24",297.6,1934,193.7
"25",223.4,1935,297.6
"26",288,1936,223.4
"27",189,1937,288
"28",117.1,1938,189
"29",465.4,1939,117.1
"30",59.2,1940,465.4
"31",206.8,1941,59.2
"32",451.5,1942,206.8
"33",218.5,1943,451.5
"34",114.5,1944,218.5
"35",862.7,1945,114.5
"36",843.1,1946,862.7
"37",483.9,1947,843.1
"38",280.5,1948,483.9
"39",230.1,1949,280.5
"40",159.9,1950,230.1
"41",211.7,1951,159.9
"42",261.2,1952,211.7
"43",305.5,1953,261.2
"44",197.8,1954,305.5
"45",775.2,1955,197.8
"46",406.6,1956,775.2
"47",298.4,1957,406.6
"48",301.9,1958,298.4
"49",104.4,1959,301.9
"50",189.9,1960,104.4
"51",230.4,1961,189.9
"52",236.9,1962,230.4
"53",684.8,1963,236.9
"54",783.8,1964,684.8
"55",459.8,1965,783.8
"56",226,1966,459.8
"57",521.8,1967,226
"58",436.2,1968,521.8
"59",144.1,1969,436.2
"60",364.1,1970,144.1
"61",250.3,1971,364.1
"62",167,1972,250.3
"63",417.6,1973,167
"64",539,1974,417.6
"65",221.8,1975,539
"66",115.6,1976,221.8
"67",83.9,1977,115.6
"68",165.2,1978,83.9
"69",63.1,1979,165.2
"70",138.2,1980,63.1
"71",257.2,1981,138.2
"72",98.3,1982,257.2
"73",282.8,1983,98.3
"74",186.1,1984,282.8
"75",125.8,1985,186.1
"76",137.1,1986,125.8
"77",113.7,1987,137.1
"78",284.6,1988,113.7
"79",132.3,1989,284.6
"80",163.6,1990,132.3
"81",274.3,1991,163.6
"82",283.2,1992,274.3
"83",135.7,1993,283.2
"84",135.5,1994,135.7
"85",186.9,1995,135.5
"86",315.5,1996,186.9
"87",120.8,1997,315.5
"88",112,1998,120.8
"89",160.5,1999,112
"90",174.5,2000,160.5
"91",39.8,2001,174.5
"92",88,2002,39.8
"93",147,2003,88
"94",77,2004,147
"95",110,2005,77
"96",35,2006,110
"97",110,2007,35
"98",77,2008,110
"99",143,2009,77
"100",12,2010,143
"101",79,2011,12
"102",18,2012,79
